,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,date,iso_code,month_yr
1722,15570.5,86.805,257.35900000000004,0.555,1.67,0.0,329.29841198580357,181.638,0.508,0.171,5.9,58.71,32.3,26.42,2423.0,0.193,59.26,37344787.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,1.1,76.68,0.6859999999999999,0.193,2423.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,2021-07-26,MAR,07-2021
1723,18529.87,18.024,1716.2920000000001,2.0540000000000003,1.09,14.445589161995954,49.99454314845002,51.604,0.094,0.179,5.6,23.4,16.73,9.53,4191.0,0.379,44.44,130262220.0,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,0.379,4191.0,0.0,19.0,414.0,1.0,13.0,0.0,63.0,351.0,801.0,15.0,37.0,0.0,2021-05-31,MEX,05-2021
1724,44103.176,605.628,407.48900000000003,4.204,1.25,30.184,353.912,683.255,4.748,0.128,7.8,6.92,4.86,2.1,2419.0,0.191,41.67,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,4.69,78.74,0.892,0.191,2419.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,429.0,0.0,0.0,0.0,2021-02-22,EST,02-2021
1725,6696.094,29.91800000000001,141.977,1.222,0.78,0.0,56.67376692584617,756.3966040491866,1.6382227531510636,0.07068029213364413,97.68348743985851,144.22,79.39,65.69,3943.0,0.209,69.44,16946446.0,90.67200000000001,25.6,4.412,2.385,3645.07,0.1,270.892,4.0,2.0,33.7,0.8,69.82,0.594,0.209,3943.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,39.0,0.0,0.0,0.0,0.0,2021-10-04,KHM,10-2021
1726,1235.003,6.689,12.610999999999999,0.157,1.05,0.0,122.50623865549392,0.21600000000000005,0.006999999999999999,0.4758593572438337,35.83115131259438,28.542741711339417,14.905428815883194,13.833246917066269,21.0,0.002,41.67,9119005.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,77.6,561.494,17.65,23.5,48.8,0.2,64.5,0.555,0.002,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,2021-05-03,PNG,05-2021
1727,2104.3070000000002,22.055,64.65100000000001,0.47700000000000004,1.09,0.0,255.04936429908116,0.21600000000000005,0.006999999999999999,0.12950629393580848,198.08864920735442,32.54967415998176,23.818078330447445,3.5797967589001,18055.740873032715,0.1507901696332654,62.5,276361788.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.8640000000001,6.32,2.8,76.1,1.04,71.72,0.718,0.15079016191612873,18107.34562410343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,2020-12-07,IDN,12-2020
1728,1478.895,7.685,26.721999999999998,0.245,0.95,11.370340210140355,115.0208892125222,102.164,0.87,0.009000000000000001,113.2,22.84641646877292,15.363666496660525,3.9400341757263995,898.1636761650152,0.15080172718596613,63.89,51305184.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999998,6.8,6.2,40.9,12.27,83.03,0.9159999999999999,0.15080177973230638,610.1083073750051,4.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,118.0,0.0,0.0,0.0,2021-01-25,KOR,01-2021
1729,85335.23199999999,281.072,989.2660000000001,3.826,1.12,25.204,129.172,3257.937,13.59,0.021,48.3,5.03,3.73,1.3,1778.0,0.127,55.56,634814.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,4.51,82.25,0.9159999999999999,0.127,1778.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,194.0,106.0,0.0,0.0,0.0,2021-02-22,LUX,02-2021
1730,110969.51199999999,42.532,1288.566,0.0,0.71,3.1510000000000002,15.753,4718.971,10.093,0.004,237.3,70.37,42.66,25.591313985258168,10917.0,0.376,45.37,634814.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,4.51,82.25,0.9159999999999999,0.376,10917.0,0.0,0.0,14.0,1.0,0.0,1.0,89.0,126.0,7.0,0.0,2.0,0.0,2021-06-14,LUX,06-2021
1731,64901.105,543.741,1909.576,17.903,1.0,90.72420833240135,949.3883528264262,310.635,1.835,0.29600000000000004,3.4,0.58,0.58,1.580701839443079,318.0,0.032,84.90281845436509,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,0.2,38.390807910741046,4.28,75.8,0.774,0.032,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,2021-04-05,MKD,04-2021
