,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,month_yr
549,1487.544,65.393,7.084,0.328,1.39,10.219942177083865,25.889899007566555,213.63817266997364,2.589033390425529,0.04732497965305709,216.90784783388506,0.0,0.0,0.0,0.0,0.0,86.11,5223376.0,14.98,30.7,2.355,1.53,37960.709,0.1,266.342,12.61,0.5,15.6,1.6,77.86,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-25,OMN,05-2020
550,12701.408,208.367,638.525,1.015,1.19,24.751,193.474,38.03602444940475,2.315,0.09,11.1,0.0,0.0,0.0,0.0,0.0,60.65,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-14,ESP,09-2020
551,26227.608,212.877,680.27,2.515,1.19,33.375,124.158,445.755,3.726,0.057,17.5,0.0,0.0,0.0,0.0,0.0,62.5,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.06,99.4,0.0,0.0,2020-10-26,USA,10-2020
552,19816.11,294.455,530.327,8.514,1.04,48.019896306633946,362.6810505676167,59.947,0.665,0.396,2.5,0.0,0.0,0.0,0.0,0.0,82.87,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,76.67,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-10-12,ARG,10-2020
553,1396.385,24.216,14.458,0.35100000000000003,1.0,0.0,1338.185,11.344,0.076,0.318,3.1,30.793905567835537,19.794926039291617,13.282955161579176,2845.1560606535913,0.0,59.26,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,0.7,60.85,0.456,0.0,2613.9535173879176,92.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,2021-02-08,MOZ,02-2021
554,99269.825,96.751,1759.136,1.7619999999999998,0.79,21.925,76.785,1320.991,3.002,0.032,31.0,87.2,49.13,39.66,5659.0,0.24,52.31,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,0.24,5659.0,0.77,2.37,9.47,0.06,8.61,0.22,2.42,66.69,8.54,0.29,0.0,2021-05-17,USA,05-2021
555,21144.819,149.651,426.614,2.513,1.12,4.943158448334891,72.90182856575075,101.133,0.513,0.292,3.4,0.0,0.0,0.0,2845.125129759405,1.722,50.0,7219641.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,1.722,3026.8916554130706,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,2021-02-22,PRY,02-2021
556,16007.33,234.701,671.962,2.286,1.1,32.709,238.463,26.825716127858072,2.357,0.1,10.0,0.0,0.0,0.0,0.0,0.0,60.65,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-28,ESP,09-2020
557,10509.317,119.238,105.129,3.13,0.91,19.5647542050934,154.5079250232866,175.213,0.8690000000000001,0.13699999999999998,7.3,13.17,10.63,2.53,3515.0,0.224,85.19,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,3.6,76.98,0.782,0.224,3515.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84,88.52,1.64,0.0,0.0,2021-06-14,LKA,06-2021
558,3436.202,7.506,67.709,0.086,1.1,21.02358279526976,1074.5475824245227,48.36044701051617,0.9306940573005034,0.0667059108486045,118.61732621284938,2.81,1.87,0.94,180.0,0.003,62.96,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,1.4,66.7,0.601,0.003,180.0,1.17,0.0,0.0,0.0,0.0,0.39,93.36,4.69,0.39,0.0,0.0,2021-07-12,KEN,07-2021
559,22276.839,400.267,189.407,4.096,1.04,35.467,309.39,493.44,3.159,0.127,7.9,0.24,0.24,0.0,286.0,0.029,55.56,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,0.029,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.57,80.43,0.0,0.0,2021-01-04,EST,01-2021
560,9372.972,5.322,165.908,0.131,0.64,0.0,460.87395929136574,58.916,0.15,0.036000000000000004,28.1,30.89,20.51,10.38,8933.0,0.8190000000000001,49.07,166303494.0,1265.036,27.5,5.098,3.262,3523.984000000001,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,0.8190000000000001,8933.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-10-04,BGD,10-2021
561,1774.221,31.338,38.157,0.094,1.45,1.153165735241025,46.136136262157606,1320.4131947450596,8.783,0.004,280.3,67.52,42.82,24.7,10072.0,0.55,71.76,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944,0.55,10072.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.1,0.0,0.0,0.0,2021-08-23,AUS,08-2021
562,15501.911,16.898,299.089,0.0,1.6,1.0501196350177011,70.09560121108643,49.50899410308807,1.8352764631929324,0.083975282991223,124.90197784941853,32.36867918535314,18.69516613919511,12.34139752478792,1257.0,0.126,70.37,591798.0,3.612,29.6,6.933,4.229,13767.119,0.1,258.314,12.54,7.4,42.9,3.1,71.68,0.738,0.126,1257.0,5.26,0.0,45.61,0.0,0.0,0.0,0.0,21.05,28.08,0.0,0.0,2021-04-05,SUR,04-2021
563,22564.05,27.336,302.411,0.7070000000000001,1.01,71.41520358168938,825.4826006671287,328.291,1.233,0.022,45.1,31.71,24.87,6.85,3082.0,0.206,74.54,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,0.206,3082.0,0.0,0.0,0.0,0.17,0.0,0.0,97.58,0.0,2.25,0.0,0.0,2021-07-26,IND,07-2021
564,1652.561,3.352,54.459,0.16,0.63,0.0,1338.185,0.599,0.056,0.06,16.6,16.862250118092742,8.798845261538723,9.34642412789714,2809.9671064643303,1.722,40.74,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,1.3,64.26,0.483,1.722,2965.886544477432,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-08,MWI,03-2021
