,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,month_yr
425,2.37,2.0,0.37,1168.0,0.071,83.33,237.016,46.6,21.453000000000007,15.957,45229.245,77.6,156.139,8.31,28.2,33.1,81.33,0.947,0.071,1168.0,0.82,0.03,0.0,0.0,0.0,0.0,0.16,10.66,88.33,0.0,0.0,2021-01-25,DEU,162.22299999999996,9.985,01-2021
426,1.8,1.52,0.28,298.0,0.021,68.06,351.8730000000001,25.2,4.803,2.661,7599.188,13.047702564072196,370.437,7.07,7.8,40.8,71.23,0.718,0.021,298.0,47.97,0.0,0.0,0.0,0.0,0.0,0.76,41.62,9.65,0.0,0.0,2021-05-03,PHL,71.78,0.8640000000000001,05-2021
427,108.11,60.13,54.02,5384.0,0.273,29.63,45.135,43.5,19.002,13.778,29524.265,0.7,342.9890000000001,3.67,21.3,38.0,75.93,0.882,0.273,5384.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-08-23,LTU,207.977,2.231,08-2021
428,55.51200888093696,34.55203070695461,21.150050739005955,7697.0,0.407,50.93,7915.731,42.4,12.922,7.049,85535.383,77.6,92.243,10.99,5.2,28.3,83.62,0.938,0.407,7697.0,9.42,0.0,0.52,6.81,0.0,1.05,64.92,10.47,6.81,0.0,0.0,2021-05-03,SGP,4.82,0.026,05-2021
429,79.2,50.22,29.72,8667.0,0.27,47.22,122.578,42.0,19.718,13.079,38605.671,0.1,86.06,4.77,30.1,35.6,82.66,0.901,0.27,8667.0,18.57,0.0,6.98,0.0,0.0,0.86,40.69,29.47,2.89,0.43,0.0,2021-06-28,FRA,27.104,0.4970000000000001,06-2021
430,86.13,53.05,39.38,5283.0,0.266,35.19,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,2.5,152.783,13.06,6.9,21.4,75.05,0.779,0.266,5283.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-10-18,MEX,36.44,2.468,10-2021
431,42.49,27.43,15.14,7789.0,0.524,66.2,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,78.86,0.926,0.524,7789.0,0.63,15.69,1.07,0.04,8.44,0.35,0.01,36.09,37.55,0.11,0.0,2021-03-22,USA,162.17700000000005,3.119,03-2021
432,0.0,0.0,0.0,0.0,0.0,50.0,102.619,44.5,19.062,12.93,31400.84,0.1,153.493,7.25,20.1,25.0,81.32,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-07-20,SVN,7.147,0.13699999999999998,07-2020
433,0.0,0.0,0.0,0.0,0.0,70.37,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,66.7,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-14,KEN,2.5980000000000003,0.065,09-2020
434,29.783453013326536,19.324572932153323,10.24222534831156,1257.0,0.126,70.37,3.612,29.6,6.933,4.229,13767.119,0.1,258.314,12.54,7.4,42.9,71.68,0.738,0.126,1257.0,5.26,0.0,45.61,0.0,0.0,0.0,0.0,21.05,28.08,0.0,0.0,2021-04-05,SUR,16.898,0.0,04-2021
435,6.49,3.94,2.56,1621.0,0.102,75.93,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,81.54,0.922,0.102,1621.0,3.19,0.0,0.0,0.0,0.0,0.25,0.0,57.99,38.57,0.0,0.0,2021-02-22,AUT,188.495,2.78,02-2021
436,0.0,4.821024749175338,0.0,0.0,1.6419999225172939,50.93,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.4540000000015,77.6,181.013,2.42,0.6,10.8,54.69,0.539,1.6419998971208165,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,5.88,91.18,0.0,0.0,2020-12-21,NGA,3.66,0.02,12-2020
437,0.0,0.0,0.0,0.0,0.0,72.22,122.578,42.0,19.718,13.079,38605.671,0.1,86.06,4.77,30.1,35.6,82.66,0.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-06-08,FRA,4.768,0.795,06-2020
438,42.55,32.09,10.59,11364.0,1.051,50.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,82.99,0.949,1.051,11364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36,0.64,0.0,0.0,2021-05-03,ISL,22.467,0.0,05-2021
439,0.0,0.0,0.0,0.0,0.0,71.3,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,81.32,0.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-25,GBR,31.084,4.392,05-2020
440,126.32,66.75,62.78,2364.0,0.08800000000000001,54.63,237.016,46.6,21.453000000000007,15.957,45229.245,77.6,156.139,8.31,28.2,33.1,81.33,0.947,0.08800000000000001,2364.0,0.01,0.0,0.01,0.0,0.0,0.01,99.91,0.05,0.01,0.0,0.0,2021-09-20,DEU,105.138,0.62,09-2021
441,0.0,0.0,0.0,0.0,0.0,70.83,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,2.5,152.783,13.06,6.9,21.4,75.05,0.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-07-20,MEX,49.308,4.38,07-2020
442,40.58983162102575,21.2039887352613,19.047295293154782,164.0,0.01,54.63,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,69.02,0.5429999999999999,0.01,164.0,10.92,0.0,0.0,0.0,0.0,0.0,81.51,0.84,6.73,0.0,0.0,2021-06-28,RWA,64.012,0.42,06-2021
443,48.82,37.37,11.53,8400.0,0.584,75.0,237.016,46.6,21.453000000000007,15.957,45229.245,77.6,156.139,8.31,28.2,33.1,81.33,0.947,0.584,8400.0,1.89,0.0,0.75,0.14,0.08,0.61,1.96,92.21,2.28,0.07,0.0,2021-05-17,DEU,119.38,2.1590000000000003,05-2021
444,2.543878792152446,2.3033000810391515,0.0,1.2245456015923077e-07,0.0,55.09,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,83.44,0.944,0.0,26.330912768100234,6.0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,47.0,0.0,0.0,2021-01-25,AUS,0.271,0.0,01-2021
445,56.83,30.53,26.3,2845.0,0.087,52.31,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,72.58,0.8240000000000001,0.087,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-09-06,RUS,123.89,5.325,09-2021
446,76.62,52.79,23.83,4460.0,0.17600000000000002,44.91,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,69.66,0.645,0.17600000000000002,4460.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-11-01,IND,9.641,0.391,11-2021
447,4.39,2.97,1.42,931.0,0.084,56.94,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,66.7,0.601,0.084,931.0,0.0,0.0,0.0,0.0,0.0,0.0,99.12,0.44,0.44,0.0,0.0,2021-08-23,KEN,21.361,0.462,08-2021
448,0.0,0.0,0.0,0.0,0.0,78.24,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,80.18,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-25,CHL,254.628,2.104,05-2020
449,0.0,0.0,0.0,0.0,0.0,76.85,7915.731,42.4,12.922,7.049,85535.383,77.6,92.243,10.99,5.2,28.3,83.62,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-11,SGP,132.128,0.079,05-2020
450,0.0,0.0,0.0,0.0,0.0,55.56,24.718000000000004,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,82.8,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,97.78,0.0,0.0,2020-10-12,SWE,58.604,-0.014,10-2020
451,0.37,0.37,0.0,294.0,0.029,50.46,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,83.44,0.944,0.029,294.0,7.04,1.41,1.41,0.0,2.82,1.41,0.0,43.66,42.25,0.0,0.0,2021-03-08,AUS,0.415,0.0,03-2021
452,102.66,54.42,48.24,6824.0,0.449,35.19,102.619,44.5,19.062,12.93,31400.84,0.1,153.493,7.25,20.1,25.0,81.32,0.917,0.449,6824.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-09-20,SVN,502.575,2.268,09-2021
453,0.0,0.0,0.0,0.0,0.0,36.57,18.136,42.8,21.228,13.264,40585.721,0.1,153.507,5.76,18.3,22.6,81.91,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-10-12,FIN,38.879,0.0,10-2020
454,113.34,65.36,47.97,5583.0,0.3,51.39,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,81.32,0.932,0.3,5583.0,0.01,0.0,0.01,0.0,0.0,0.0,98.09,1.68,0.19,0.0,0.0,2021-06-28,GBR,240.509,0.256,06-2021
455,63.09,57.51,5.58,9351.0,0.7809999999999999,73.61,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,82.43,0.929,0.7809999999999999,9351.0,0.47,0.5,27.38,0.11,0.97,0.93,10.24,54.97,4.36,0.0,0.0,2021-05-31,CAN,79.08800000000002,1.073,05-2021
456,21.370525158004405,11.589274535236024,9.348917684385414,187.0,0.019,59.26,23.89,16.8,2.405,1.362,5819.495,15.885538430731785,276.045,3.94,0.2,7.7,61.15,0.581,0.019,187.0,46.72,0.0,0.73,2.92,0.0,5.11,0.0,23.36,21.16,0.0,0.0,2021-04-05,AGO,2.463,0.038,04-2021
457,27.22,15.49,11.73,5780.0,0.29,67.13,90.672,25.6,4.412,2.385,3645.07,77.6,270.892,4.0,2.0,33.7,69.82,0.594,0.29,5780.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,89.86,5.79,0.0,0.0,2021-05-31,KHM,36.527,0.295,05-2021
458,143.61,76.43,67.18,1950.0,0.076,20.37,14.462,39.7,16.820999999999998,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,82.4,0.957,0.076,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-10-04,NOR,89.494,0.28800000000000003,10-2021
459,1.78,0.99,0.79,596.0,0.008,53.7,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,75.29,0.866,0.008,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,95.98,0.0,0.0,2021-02-08,LVA,415.961,11.095,02-2021
460,0.0,0.0,0.0,0.0,0.0,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,82.99,0.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-28,ISL,118.992,0.0,09-2020
461,59.22,40.75,19.16,8602.0,0.35700000000000004,50.93,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,81.63,0.931,0.35700000000000004,8602.0,0.75,0.0,9.93,0.0,0.0,0.03,6.37,79.91,2.94,0.0,0.0,2021-05-31,BEL,149.571,1.253,05-2021
462,3.53,3.9363681742681917,0.0,1829.0,0.157,78.7,508.544,43.2,18.779,11.880999999999998,48472.545,39.19865634333847,109.361,5.29,24.4,27.3,82.28,0.944,0.157,1829.0,2.07,0.0,0.18,0.0,0.0,0.22,0.0,31.78,65.75,0.0,0.0,2021-02-08,NLD,221.825,3.394,02-2021
463,39.250962857590316,25.63536974856494,14.346640789660409,2067.0,0.192,54.63,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,80.28,0.81,0.192,2067.0,1.54,1.54,15.38,0.0,0.0,0.0,26.15,7.69,24.62,3.08,0.0,2021-07-12,CRI,171.18200000000004,1.307,07-2021
464,0.0,0.0,0.0,0.0,0.0,63.43,237.016,46.6,21.453000000000007,15.957,45229.245,77.6,156.139,8.31,28.2,33.1,81.33,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-07-06,DEU,5.146,0.078,07-2020
465,24.192648711391612,13.649583478478203,9.448140260376052,347.0,0.015,76.85,266.879,31.4,9.684,6.39,8193.571,9.645590992542665,206.537,11.28,5.3,28.6,74.47,0.7340000000000001,0.015,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33,6.67,0.0,0.0,2021-05-17,JAM,29.499,2.594,05-2021
466,140.61,81.69,73.41,8463.0,0.6629999999999999,52.78,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,82.05,0.8640000000000001,0.6629999999999999,8463.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.2,0.0,0.0,2021-08-23,PRT,225.864,1.012,08-2021
467,51.61492784529669,31.26104019988321,20.921452048003104,4458.0,0.08199999999999999,44.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999996,8.11,10.1,17.9,75.88,0.765,0.08199999999999999,4458.0,0.0,0.0,2.7,0.0,0.0,0.0,94.59,0.0,2.71,0.0,0.0,2021-11-01,BRA,52.827,1.414,11-2021
468,23.563334508560764,15.257330275990734,11.070581142090912,0.0,1.6419999223085524,48.15,347.778,48.2,27.049,18.493,39002.223,0.1,79.37,5.72,11.2,33.7,84.63,0.919,1.6419998968997538,0.0,0.04,0.21,0.17,0.0,0.0,0.0,0.0,0.95,98.63,0.0,0.0,2021-01-04,JPN,28.181,0.402,01-2021
469,6.41,5.66,0.75,2319.0,0.211,39.35,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,83.44,0.944,0.211,2319.0,12.74,0.64,1.27,10.83,0.0,0.64,21.66,46.5,5.72,0.0,0.0,2021-04-19,AUS,0.7040000000000001,0.0,04-2021
470,48.954564877686416,34.118525151251035,16.68400616769831,10517.0,0.807,37.96,168.155,40.000765908988505,17.977846746104085,12.286732573592195,9795.834,0.6,537.6792884310976,5.288940903737156,44.0,76.1,74.49980418511055,0.8261584126823293,0.807,10517.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-08-23,OWID_KOS,1073.283,4.569,08-2021
471,3.99,2.73,1.26,16.0,0.0,42.59,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,64.07,0.611,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.76,80.92,0.0,18.32,0.0,0.0,2021-07-12,GHA,5.3260000000000005,0.023,07-2021
472,4.091563284340275,6.0967753126495845,0.8931018317387256,0.0,1.6419999237304999,81.48,102.619,44.5,19.062,12.93,31400.84,0.1,153.493,7.25,20.1,25.0,81.32,0.917,1.6419998987512883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,99.64,0.0,0.0,2020-12-21,SVN,656.2410000000001,18.693,12-2020
473,50.08119818974595,41.00231272495964,7.407587505269582,20955.0,0.01909944595471369,68.98,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,69.66,0.645,0.019099460939962287,20955.0,0.23,0.0,0.0,1.49,0.0,0.0,1.38,8.62,88.28,0.0,0.0,2021-01-04,IND,13.589,0.174,01-2021
474,0.0,0.0,0.0,0.0,0.0,48.61,18.206,37.9,15.322,9.72,36085.843,0.1,128.797,8.08,14.8,17.2,82.29,0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-14,NZL,0.53,0.0,09-2020
475,31.447764373586168,23.759125755717708,8.142979163914916,6622.0,0.574,65.74,24.718000000000004,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,82.8,0.945,0.574,6622.0,2.88,0.0,0.07,0.03,0.0,0.04,0.12,94.37,2.49,0.0,0.0,2021-04-19,SWE,600.905,2.3480000000000003,04-2021
476,113.6,58.59,55.01,334.0,0.012,52.78,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,82.97,0.919,0.012,334.0,0.49,0.0,1.96,0.0,0.0,2.94,11.27,67.16,3.43,12.75,0.0,2021-05-17,ISR,3.1060000000000003,0.16899999999999998,05-2021
477,141.79,73.0864945419231,68.62696773940749,1022.0,0.1503668731648939,52.78,508.544,43.2,18.779,11.880999999999998,48472.545,39.198884775345604,109.361,5.29,24.4,27.3,82.28,0.944,0.15036687034964477,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-11-15,NLD,846.732,1.398,11-2021
478,4.84,4.4,0.43,642.0,0.048,79.17,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,75.4,0.7040000000000001,0.048,642.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-07-26,VNM,67.183,0.276,07-2021
479,134.76,69.70844235322377,64.88384065522035,1578.0,0.043,41.67,508.544,43.2,18.779,11.880999999999998,48472.545,39.19683786504184,109.361,5.29,24.4,27.3,82.28,0.944,0.043,1578.0,0.03,0.03,0.03,0.0,0.0,0.03,99.62,0.22,0.04,0.0,0.0,2021-09-06,NLD,153.122,0.5489999999999999,09-2021
480,72.1,43.75,29.73,7026.0,0.29,44.44,45.135,43.5,19.002,13.778,29524.265,0.7,342.9890000000001,3.67,21.3,38.0,75.93,0.882,0.29,7026.0,0.0,0.0,0.15,0.0,0.0,0.0,1.2,89.91,8.74,0.0,0.0,2021-06-14,LTU,67.396,1.753,06-2021
481,7.31,6.47,2.33,2200.0,0.1,72.22,46.754,27.3,5.3439999999999985,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,64.13,0.7090000000000001,0.1,2200.0,4.52,0.0,0.0,0.05,0.0,0.0,88.87,0.68,5.88,0.0,0.0,2021-07-12,ZAF,312.572,5.563,07-2021
482,37.18,34.12,3.06,6588.0,0.616,75.46,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,82.43,0.929,0.616,6588.0,1.41,1.49,25.22,0.24,0.24,1.77,1.83,53.74,14.03,0.03,0.0,2021-05-03,CAN,210.117,1.193,05-2021
483,131.11,68.39,62.404964500539634,3207.0,0.08900000000000001,46.3,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,82.25,0.916,0.08900000000000001,3207.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-11-01,LUX,243.041,0.225,11-2021
484,3.98,2.95,1.03,1523.0,0.134,56.48,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,80.28,0.81,0.134,1523.0,7.41,1.85,1.85,0.0,1.85,1.85,0.0,1.85,83.34,0.0,0.0,2021-03-08,CRI,43.199,0.584,03-2021
