,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron
43097,GHA,2021-02-08,Africa,Ghana,72328.0,1560.0,759.7139999999998,472.0,15.0,8.0,2279.33,49.162,23.941,14.875,0.473,0.252,1.14,,,,,,,,,4653.0,822643.0,25.925,0.147,4244.0,0.134,0.179,5.6,samples tested,,,,,,,,,,,,,,38.89,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,57.0,13.0,0.0,0.0,0.0
43111,GHA,2021-02-22,Africa,Ghana,80759.0,506.0,609.571,582.0,5.0,5.714,2545.023,15.946,19.21,18.341,0.158,0.18,1.04,,,,,,,,,4297.0,885214.0,27.896,0.135,4444.0,0.14,0.13699999999999998,7.3,samples tested,,,,,,,,,,,,,,38.89,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,17.0,0.0,61.0,7.0,0.0,0.0,0.0
43125,GHA,2021-03-08,Africa,Ghana,86465.0,0.0,348.857,647.0,0.0,5.714,2724.841,0.0,10.994000000000002,20.389,0.0,0.18,0.96,,,,,,,,,2578.0,937326.0,29.539,0.081,3396.0,0.107,0.103,9.7,samples tested,202252.0,202252.0,,,,28893.0,0.64,0.64,,,911.0,28893.0,0.091,50.93,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,28893.0,0.091,28893.0,911.0,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,42.0,6.0,0.0,0.0,0.0
43139,GHA,2021-03-22,Africa,Ghana,89682.0,0.0,242.429,725.0,0.0,4.857,2826.2209999999995,0.0,7.64,22.848000000000006,0.0,0.153,0.93,,,,,,,,,1548.0,981024.0,30.916,0.049,2754.0,0.087,0.08800000000000001,11.4,samples tested,,,,,,14048.0,,,,,443.0,14048.0,0.044,50.93,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,14048.0,0.044,14048.0,443.0,,0.0,0.0,0.0,0.0,2.0,14.0,0.0,28.0,9.0,0.0,0.0,0.0
43153,GHA,2021-04-05,Africa,Ghana,90900.0,118.0,87.571,752.0,4.0,1.714,2864.605,3.719,2.76,23.698,0.126,0.054000000000000006,0.93,,,,,,,,,1974.0,1020874.0,32.172,0.062,2764.0,0.087,0.032,31.6,samples tested,,,,,,7081.0,,,,,223.0,7081.0,0.022,47.22,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,7081.0,0.022,7081.0,223.0,,3.0,0.0,0.0,1.0,0.0,7.0,0.0,24.0,11.0,0.0,0.0,0.0
43167,GHA,2021-04-19,Africa,Ghana,91709.0,0.0,64.143,771.0,0.0,2.4290000000000003,2890.099,0.0,2.021,24.297,0.0,0.077,0.98,,,,,,,,,,,,,2739.0,0.086,0.023,42.7,samples tested,,,,,,11829.0,,,,,373.0,11829.0,0.037000000000000005,47.22,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,11829.0,0.037000000000000005,11829.0,373.0,,6.0,0.0,0.0,7.0,1.0,10.0,1.0,41.0,30.0,0.0,0.0,0.0
43181,GHA,2021-05-03,Africa,Ghana,92683.0,82.0,61.429,779.0,0.0,0.28600000000000003,2920.794000000001,2.584,1.936,24.549,0.0,0.009000000000000001,1.01,,,,,,,,,2040.0,1097081.0,34.573,0.064,2675.0,0.084,0.023,43.5,samples tested,,,,,,46.0,,,,,1.0,46.0,0.0,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,46.0,0.0,46.0,1.0,,4.0,0.0,1.0,2.0,0.0,6.0,5.0,39.0,27.0,0.0,0.0,0.0
43195,GHA,2021-05-17,Africa,Ghana,93333.0,90.0,46.0,783.0,0.0,0.0,2941.278,2.8360000000000003,1.45,24.675,0.0,0.0,1.06,,,,,,,,,,1138228.0,35.87,,3102.0,0.098,0.015,67.4,samples tested,,,,,,46.0,,,,,1.0,46.0,0.0,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,46.0,0.0,46.0,1.0,,1.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,45.0,0.0,0.0,0.0
43209,GHA,2021-05-31,Africa,Ghana,93898.0,0.0,36.286,785.0,0.0,0.28600000000000003,2959.083,0.0,1.144,24.738000000000003,0.0,0.009000000000000001,1.13,,,,,,,,,,,,,3319.0,0.105,0.011,91.5,samples tested,1228216.0,852047.0,376169.0,,,54335.0,3.87,2.69,1.19,,1712.0,597.0,0.002,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,597.0,0.002,54335.0,1712.0,,0.0,0.0,0.0,1.0,0.0,8.0,9.0,3.0,53.0,0.0,0.0,0.0
43237,GHA,2021-06-28,Africa,Ghana,95476.0,107.0,59.57100000000001,795.0,0.0,0.14300000000000002,3008.812,3.372,1.877,25.053,0.0,0.005,1.26,,,,,,,,,,1284163.0,40.469,,4029.0,0.127,0.015,67.6,samples tested,,,,,,1920.0,,,,,61.0,858.0,0.003,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,858.0,0.003,1920.0,61.0,,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,9.0,0.0,0.0,0.0
43251,GHA,2021-07-12,Africa,Ghana,97585.0,0.0,169.0,801.0,0.0,0.7140000000000001,3075.274000000001,0.0,5.3260000000000005,25.243,0.0,0.023,1.27,,,,,,,,,,,,,4689.0,0.14800000000000002,0.036000000000000004,27.7,samples tested,1265306.0,864964.0,400342.0,,,518.0,3.99,2.73,1.26,,16.0,7.0,0.0,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,7.0,0.0,518.0,16.0,,0.0,0.0,0.0,0.0,0.0,1.0,107.0,0.0,23.0,0.0,0.0,0.0
43265,GHA,2021-07-26,Africa,Ghana,102103.0,933.0,469.429,823.0,2.0,1.571,3217.6540000000005,29.402,14.793,25.936,0.063,0.05,1.26,,,,,,,,,5964.0,1422916.0,44.841,0.188,5491.0,0.173,0.085,11.7,samples tested,,,,,,5590.0,,,,,176.0,0.0,0.0,38.89,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,0.0,0.0,5590.0,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,6.0,0.0,0.0,0.0
43279,GHA,2021-08-09,Africa,Ghana,108226.0,0.0,461.714,874.0,0.0,5.2860000000000005,3410.613,0.0,14.55,27.543000000000006,0.0,0.16699999999999998,1.17,,,,,,,,,6205.0,1508864.0,47.55,0.196,6105.0,0.192,0.076,13.2,samples tested,,,,,,5590.0,,,,,176.0,0.0,0.0,42.59,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,0.0,0.0,5590.0,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,8.0,0.0,0.0,0.0
43293,GHA,2021-08-23,Africa,Ghana,115102.0,518.0,552.857,974.0,6.0,6.2860000000000005,3627.302,16.324,17.423,30.694000000000006,0.189,0.198,1.06,,,,,,,,,5933.0,1593355.0,50.213,0.187,6005.0,0.189,0.092,10.9,samples tested,,,,,,5590.0,,,,,176.0,0.0,0.0,44.44,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,0.0,0.0,5590.0,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0
43391,GHA,2021-11-29,Africa,Ghana,130920.0,0.0,13.286,1209.0,0.0,0.14300000000000002,4125.787,0.0,0.419,38.1,0.0,0.005,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,33.0
44496,GMB,2020-08-03,Africa,Gambia,498.0,0.0,24.571,9.0,0.0,0.14300000000000002,200.246,0.0,9.88,3.619,0.0,0.057,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0
44510,GMB,2020-08-17,Africa,Gambia,1872.0,0.0,91.0,63.0,0.0,5.714,752.7330000000002,0.0,36.591,25.332,0.0,2.298,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
44524,GMB,2020-08-31,Africa,Gambia,2963.0,0.0,54.0,96.0,0.0,1.286,1191.425,0.0,21.713,38.602,0.0,0.517,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
44727,GMB,2021-03-22,Africa,Gambia,5255.0,0.0,33.714,161.0,0.0,1.143,2113.041,0.0,13.557,64.738,0.0,0.46,0.95,,,,,,,,,,,,,,,,,,,,,,,281.0,,,,,113.0,281.0,0.011,44.44,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,281.0,0.011,281.0,113.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,0.0
44839,GMB,2021-07-12,Africa,Gambia,6328.0,46.0,30.286,185.0,0.0,0.429,2544.495,18.497,12.178,74.389,0.0,0.172,1.15,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,16.0,7.0,0.0,33.33,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,7.0,0.0,39.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0
44853,GMB,2021-07-26,Africa,Gambia,7333.0,0.0,59.0,208.0,0.0,2.571,2948.607,0.0,23.724,83.637,0.0,1.034,1.06,,,,,,,,,,,,,,,,,samples tested,,,,,,3615.0,,,,,1454.0,3578.0,0.14400000000000002,33.33,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,3578.0,0.14400000000000002,3615.0,1454.0,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
44867,GMB,2021-08-09,Africa,Gambia,8603.0,0.0,127.714,242.0,0.0,4.2860000000000005,3459.275,0.0,51.354,97.308,0.0,1.723,0.89,,,,,,,,,,93657.0,37.66,,431.0,0.173,0.29600000000000004,3.4,samples tested,,,,,,3615.0,,,,,1454.0,3578.0,0.14400000000000002,24.07,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,3578.0,0.14400000000000002,3615.0,1454.0,,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,2.0,0.0,0.0,0.0
44881,GMB,2021-08-23,Africa,Gambia,9470.0,31.0,39.286,301.0,5.0,4.2860000000000005,3807.897,12.465,15.797,121.032,2.011,1.723,0.78,,,,,,,,,,99342.0,39.946,,328.0,0.132,0.12,8.3,samples tested,184553.0,170794.0,148842.0,,,3615.0,7.42,6.87,5.98,,1454.0,3578.0,0.14400000000000002,43.06,2486937.0,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,3578.0,0.14400000000000002,3615.0,1454.0,,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,0.0
46457,GRC,2020-09-28,Europe,Greece,17707.0,263.0,301.714,383.0,4.0,5.5710000000000015,1707.399,25.36,29.093000000000004,36.931,0.386,0.537,1.12,,,,,,,,,6696.0,1294596.0,124.832,0.6459999999999999,12068.0,1.164,0.025,40.0,samples tested,,,,,,,,,,,,,,58.33,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
46471,GRC,2020-10-12,Europe,Greece,22652.0,294.0,358.571,456.0,7.0,5.5710000000000015,2184.221,28.349,34.575,43.97,0.675,0.537,1.19,,,,,,,,,6966.0,1455487.0,140.345,0.672,12010.0,1.158,0.03,33.5,samples tested,,,,,,,,,,,,,,59.72,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
46499,GRC,2020-11-09,Europe,Greece,58187.0,1489.0,2301.0,825.0,41.0,26.143,5610.686,143.577,221.874,79.551,3.953,2.521,1.28,,,,,,,,,11321.0,2044966.0,197.186,1.092,23776.0,2.293,0.097,10.3,samples tested,,,,,,,,,,,,,,78.7,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0
46513,GRC,2020-11-23,Europe,Greece,93006.0,1387.0,2371.857,1714.0,84.0,78.429,8968.11,133.74200000000002,228.706,165.273,8.1,7.562,0.97,,,,,,,,,,,,,28107.0,2.71,0.084,11.9,samples tested,,,,,,,,,,,,,,78.7,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0
46527,GRC,2020-12-07,Europe,Greece,116721.0,1250.0,1635.714,3092.0,89.0,98.0,11254.831,120.531,157.724,298.146,8.582,9.45,0.84,,,,,,,,,10526.0,2754177.0,265.572,1.015,23917.0,2.306,0.068,14.6,samples tested,,,,,,,,,,,,,,84.26,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0
46541,GRC,2020-12-21,Europe,Greece,131597.0,525.0,917.714,4257.0,85.0,81.429,12689.25,50.62300000000001,88.491,410.482,8.196,7.852,0.78,,,,,,,,,11861.0,3135160.0,302.308,1.144,28049.0,2.705,0.033,30.6,samples tested,,,,,,,,,,,,,,84.26,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,254.0,0.0,0.0,0.0
46555,GRC,2021-01-04,Europe,Greece,140526.0,427.0,656.429,5011.0,54.0,48.429,13550.229,41.174,63.29600000000001,483.186,5.207000000000002,4.67,0.89,,,,,,,,,8282.0,3432711.0,330.999,0.799,21299.0,2.0540000000000003,0.031,32.4,samples tested,10327.0,10327.0,,,6458.0,1411.0,0.1,0.1,,,136.0,1411.0,0.014,84.26,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,1411.0,0.014,1411.0,136.0,6458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,161.0,0.0,0.0,0.0
46562,GRC,2021-01-11,Europe,Greece,145179.0,441.0,664.7139999999998,5302.0,39.0,41.57100000000001,13998.895,42.523,64.095,511.246,3.761,4.009,0.93,,,,,,,,,16670.0,3613209.0,348.404,1.607,25785.0,2.486,0.026,38.8,samples tested,50045.0,50045.0,,,5400.0,5674.0,0.48,0.48,,,547.0,5674.0,0.055,80.56,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,5674.0,0.055,5674.0,547.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,0.0,0.0,0.0
46576,GRC,2021-01-25,Europe,Greece,152412.0,432.0,498.143,5671.0,25.0,26.143,14696.338,41.65600000000001,48.033,546.827,2.411,2.521,1.09,,,,,,,,,9394.0,3982894.0,384.051,0.906,25169.0,2.427,0.02,50.5,samples tested,179951.0,171890.0,8061.0,,,13436.0,1.74,1.66,0.08,,1296.0,12345.0,0.119,80.56,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,12345.0,0.119,13436.0,1296.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,92.0,0.0,0.0,0.0
46590,GRC,2021-02-08,Europe,Greece,164575.0,629.0,1011.429,5997.0,25.0,24.0,15869.156,60.651,97.527,578.261,2.411,2.314,1.2,,,,,,,,,18152.0,4445443.0,428.652,1.75,36111.0,3.482,0.028,35.7,samples tested,417565.0,332812.0,84753.0,,,17678.0,4.03,3.21,0.82,,1705.0,12223.0,0.118,81.48,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,12223.0,0.118,17678.0,1705.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,47.0,0.0,0.0,0.0
46604,GRC,2021-02-22,Europe,Greece,180672.0,870.0,1121.143,6321.0,24.0,24.143,17421.31,83.89,108.106,609.503,2.314,2.3280000000000003,1.2,,,,,,,,,15610.0,4958128.0,478.088,1.505,32984.0,3.18,0.034,29.4,samples tested,730410.0,486820.0,243590.0,,33165.0,25095.0,7.04,4.69,2.35,,2420.0,14396.0,0.139,80.56,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,14396.0,0.139,25095.0,2420.0,33165.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,70.0,0.0,0.0,0.0
46618,GRC,2021-03-08,Europe,Greece,206281.0,1161.0,2001.571,6797.0,39.0,37.571,19890.66,111.95,193.002,655.4010000000002,3.761,3.623,1.17,,,,,,,,,19025.0,5578001.0,537.859,1.834,46315.0,4.466,0.043,23.1,samples tested,1126060.0,753636.0,372423.0,,,29267.0,10.86,7.27,3.59,,2822.0,22798.0,0.22,88.89,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,22798.0,0.22,29267.0,2822.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,122.0,0.0,0.0,0.0
46632,GRC,2021-03-22,Europe,Greece,238830.0,1705.0,2364.143,7531.0,69.0,56.286,23029.199,164.405,227.963,726.177,6.653,5.4270000000000005,1.11,,,,,,,,,14074.0,6134091.0,591.48,1.357,37966.0,3.661,0.062,16.1,samples tested,1469020.0,997959.0,471056.0,,,26226.0,14.17,9.62,4.54,,2529.0,17188.0,0.166,87.96,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,17188.0,0.166,26226.0,2529.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,972.0,64.0,0.0,0.0,0.0
46646,GRC,2021-04-05,Europe,Greece,277277.0,1863.0,3074.571,8453.0,73.0,72.571,26736.454,179.64,296.466,815.081,7.039,6.997999999999998,1.06,,,,,,,,,16332.0,6747854.0,650.6619999999998,1.575,47717.0,4.601,0.064,15.5,samples tested,1886370.0,1222682.0,663680.0,,,35813.0,18.19,11.79,6.4,,3453.0,22258.0,0.215,87.96,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,22258.0,0.215,35813.0,3453.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,293.0,38.0,0.0,0.0,0.0
46660,GRC,2021-04-19,Europe,Greece,316879.0,1606.0,2827.571,9540.0,78.0,82.714,30555.08,154.859,272.649,919.895,7.521,7.976,0.97,,,,,,,,,20848.0,7489656.0,722.191,2.01,54312.0,5.237,0.052000000000000005,19.2,samples tested,2546154.0,1774120.0,772024.0,,,45754.0,24.55,17.11,7.44,,4412.0,41949.0,0.404,87.96,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,41949.0,0.404,45754.0,4412.0,,5.0,0.0,0.0,1.0,0.0,1.0,0.0,538.0,64.0,0.0,0.0,0.0
46674,GRC,2021-05-03,Europe,Greece,348568.0,2146.0,2018.857,10587.0,134.0,71.429,33610.694,206.928,194.668,1020.852,12.921,6.888,0.93,,,,,,,,,,8189449.0,789.668,,45572.0,4.394,0.044,22.6,samples tested,3136791.0,2191449.0,945331.0,,,36227.0,30.25,21.13,9.12,,3493.0,22766.0,0.22,71.3,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,22766.0,0.22,36227.0,3493.0,,5.0,0.0,0.0,0.0,0.0,0.0,8.0,1014.0,242.0,0.0,0.0,0.0
46688,GRC,2021-05-17,Europe,Greece,378485.0,1395.0,2083.0,11471.0,56.0,54.57100000000001,36495.442,134.513,200.853,1106.092,5.4,5.2620000000000005,0.92,,,,,,,,,23328.0,8879508.0,856.207,2.249,54689.0,5.273,0.038,26.3,samples tested,4405618.0,2836972.0,1624604.0,,,92140.0,42.48,27.36,15.67,,8885.0,47106.0,0.454,71.3,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,47106.0,0.454,92140.0,8885.0,,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1010.0,237.0,0.0,0.0,0.0
46702,GRC,2021-05-31,Europe,Greece,402306.0,1005.0,1589.286,12095.0,41.0,39.0,38792.384,96.907,153.247,1166.261,3.953,3.761,0.82,,,,,,,,,22986.0,9520565.0,918.021,2.216,44535.0,4.294,0.036000000000000004,28.0,samples tested,5597624.0,3647975.0,2058287.0,,,83565.0,53.98,35.18,19.85,,8058.0,52346.0,0.505,62.04,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,52346.0,0.505,83565.0,8058.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,140.0,0.0,0.0,0.0
46716,GRC,2021-06-14,Europe,Greece,415401.0,468.0,747.857,12443.0,21.0,20.286,40055.07,45.127,72.112,1199.817,2.025,1.956,0.75,,,,,,,,,19402.0,10079010.0,971.869,1.871,38077.0,3.672,0.02,50.9,samples tested,6938959.0,4274435.0,2831081.0,,103176.0,97144.0,66.91,41.22,27.3,,9367.0,36200.0,0.349,45.37,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,36200.0,0.349,97144.0,9367.0,103176.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,129.0,0.0,0.0,0.0
46730,GRC,2021-06-28,Europe,Greece,421266.0,361.0,388.286,12682.0,18.0,16.714000000000002,40620.603,34.809,37.44,1222.863,1.736,1.612,1.11,,,,,,,,,19462.0,10548412.0,1017.131,1.877,31987.0,3.084,0.012,82.4,samples tested,8202338.0,4762181.0,3666080.0,,103379.0,98767.0,79.09,45.92,35.35,,9524.0,33374.0,0.322,41.67,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,33374.0,0.322,98767.0,9524.0,103379.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,40.0,0.0,0.0,0.0
46744,GRC,2021-07-12,Europe,Greece,440872.0,2063.0,1987.0,12802.0,10.0,8.429,42511.113,198.925,191.597,1234.434,0.964,0.813,1.44,,,,,,,,,36790.0,11234385.0,1083.276,3.547,60061.0,5.791,0.033,30.2,samples tested,9325449.0,5269184.0,4331934.0,,91928.0,74762.0,89.92,50.81,41.77,,7209.0,33492.0,0.32299999999999995,54.17,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,33492.0,0.32299999999999995,74762.0,7209.0,91928.0,12.0,0.0,0.0,0.0,0.0,0.0,160.0,111.0,13.0,0.0,0.0,0.0
46758,GRC,2021-07-26,Europe,Greece,477975.0,2056.0,2689.857,12903.0,5.0,6.4289999999999985,46088.773,198.25,259.37,1244.173,0.482,0.62,1.14,,,,,,,,,44993.0,12287462.0,1184.819,4.338,77183.0,7.442,0.035,28.7,samples tested,10237691.0,5616497.0,4943131.0,,75062.0,61406.0,98.72,54.16,47.66,,5921.0,21492.0,0.207,66.2,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,21492.0,0.207,61406.0,5921.0,75062.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,7.0,3.0,0.0,0.0,0.0
