,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
1654,GUY,2021-11,36459.85,81.8,83.18575,949.35,2.9,2.9857,46132.49659999999,103.50115000000001,105.25449999999998,1201.20865,3.6694500000000003,3.777799999999999,0.958,,,,,,,,,,,,,,,,,644206.8333333334,388413.0833333333,255793.75,,2460.75,1848.388888888889,81.51166666666666,49.145,32.365,,2338.777777777778,665.3333333333334,0.08416666666666667,65.74,790329.0,3.951999999999999,26.300000000000004,5.305000000000002,2.8370000000000015,7435.047000000001,,373.1589999999999,11.620000000000003,,,77.15900000000003,1.6000000000000003,69.91,0.6820000000000003,,,,,665.3333333333334,0.08416666666666667,1848.388888888889,2338.777777777778,2460.75,,,,,,,,,,,,
1677,HKG,2021-11,12374.25,2.65,2.6784499999999998,213.0,0.0,0.0,1638.3659000000002,0.3507,0.35445,28.20100000000001,0.0,0.0,,,,,,,,,,,27124160.0,3591.272,,43712.0,5.7875,0.0,33333.3,9147178.0,4659086.5,4462988.0,,11620.05,10678.2,121.1095,61.6865,59.090999999999994,,1413.85,4002.9,0.053100000000000015,52.77999999999999,7552800.0,7039.714000000003,44.79999999999998,16.303,10.157999999999996,56054.920000000006,,,8.330000000000002,,,,,84.85999999999997,0.9490000000000002,,,,,4002.9,0.053100000000000015,10678.2,1413.85,11620.05,,,,,,,,,,,,
1698,HND,2021-11,376658.3,101.95,112.10709999999999,10331.3,7.4,7.37865,37430.04310000002,10.1311,11.140649999999999,1026.6626,0.73535,0.7332500000000002,0.857,,,,,,,,,,,,,,,,,7600301.333333333,3931069.3333333335,3668287.0,,,49631.21052631579,75.52666666666669,39.06333333333333,36.453333333333326,,4932.1578947368425,6910.210526315789,0.06857894736842104,63.89,10062994.0,82.80500000000004,24.89999999999999,4.652,2.883000000000001,4541.794999999999,16.0,240.208,7.209999999999998,2.0,,84.16900000000003,0.6999999999999997,75.27,0.6340000000000001,,,,,6910.210526315789,0.06857894736842104,49631.21052631579,4932.1578947368425,,,,,,,,,,,,,
1720,HRV,2021-11,518040.75,4788.5,4654.328550000001,9705.8,51.15,45.6643,126919.22674999996,1173.17555,1140.30365,2377.9067,12.531749999999999,11.187750000000001,1.349,,,1671.2857142857142,409.4625714285714,,,1621.332,397.224,,3220733.0,789.0748333333335,,11478.736842105263,2.812263157894737,0.4044999999999999,2.5055555555555546,3776784.2,2002273.3333333333,1841372.1333333333,,16633.833333333332,16072.052631578947,92.53133333333334,49.05533333333334,45.11333333333334,,3937.6315789473683,9180.315789473685,0.22499999999999998,36.97071428571428,4081657.0,73.72600000000003,44.0,19.723999999999997,13.053,22669.797000000006,0.6999999999999997,253.78200000000007,5.590000000000002,34.3,39.89999999999999,,5.540000000000003,78.49,0.8509999999999996,,,,,9180.315789473685,0.22499999999999998,16072.052631578947,3937.6315789473683,16633.833333333332,,,,,,,,,,,,
1741,HTI,2021-11,24354.05,40.4,44.764300000000006,697.7,2.0,2.278750000000001,2110.0951500000006,3.5003000000000006,3.878399999999999,60.4505,0.1733,0.19735000000000008,1.0299999999999998,,,,,,,,,,,,,,,,,142420.0,99751.33333333333,43009.666666666664,,14852.0,1240.75,1.2366666666666666,0.8666666666666667,0.36999999999999994,,107.41666666666667,797.25,0.006916666666666667,,11541683.0,398.4480000000001,24.300000000000008,4.799999999999999,2.954,1653.1729999999995,23.5,430.5479999999999,6.650000000000003,2.899999999999999,23.10000000000001,22.863,0.6999999999999997,64.0,0.5099999999999999,,,,,797.25,0.006916666666666667,1240.75,107.41666666666667,14852.0,,,,,,,,,,,,
1762,HUN,2021-11,928902.95,6753.45,5855.00725,31728.2,102.55,88.49285,96417.61780000002,700.9898999999999,607.7339000000001,3293.301550000001,10.64435,9.185350000000001,1.7570000000000001,,,4045.1428571428573,419.87492857142854,,,,,42359.6,7245707.133333334,752.0848666666667,4.396866666666667,28233.315789473683,2.9304736842105266,0.1965555555555556,5.205555555555556,13094827.5,5985710.071428572,5763023.285714285,1473000.0,,28896.2,135.92000000000002,62.12785714285714,59.81785714285714,15.288571428571428,2999.266666666667,3100.8333333333335,0.03216666666666666,27.78,9634162.0,108.04300000000005,43.399999999999984,18.577,11.976,26777.560999999994,0.5,278.296,7.55,26.800000000000004,34.8,,7.019999999999998,76.88000000000002,0.8539999999999995,,,,,3100.8333333333335,0.03216666666666666,28896.2,2999.266666666667,,,,,,,,,,,,,
1783,IDN,2021-11,4249338.45,437.0,472.34995,143596.45,16.15,18.371449999999996,15375.998499999998,1.58125,1.7092500000000002,519.59585,0.05845,0.06634999999999999,0.783,,,,,,,,,,,,,,,,,208867996.0,127459566.05,81408429.95,,1471198.75,1521893.95,75.57849999999999,46.120999999999995,29.457,,5506.95,766447.85,0.27735,57.87,276361788.0,145.72499999999997,29.3,5.319000000000001,3.052999999999999,11188.744000000004,5.700000000000002,342.8639999999998,6.319999999999998,2.799999999999999,76.09999999999998,64.20399999999998,1.0399999999999996,71.72000000000001,0.718,,,,,766447.85,0.27735,1521893.95,5506.95,1471198.75,,,,,,,,,,,,
1794,IMN,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132756.1,68077.5,64694.555555555555,,97.5,40.94736842105263,155.434,79.70666666666666,75.74666666666664,,479.5263157894737,23.36842105263158,0.027421052631578943,,85410.0,147.87199999999999,,,,,,,,,,,,81.40000000000002,,,,,,23.36842105263158,0.027421052631578943,40.94736842105263,479.5263157894737,97.5,,,,,,,,,,,,
1817,IND,2021-11,34406011.95,11229.95,11668.62855,462348.85,361.25,383.67855,24691.968500000003,8.059199999999999,8.374199999999998,331.81125000000003,0.25925,0.2755,0.89,,,,,,,,,1107162.5555555555,618303637.7222222,443.7345000000001,0.7945,1120738.4444444445,0.8043888888888889,0.010555555555555558,95.31111111111109,1106642810.25,747994529.5,358648280.75,,5052682.7,4884120.65,79.41949999999999,53.681,25.738999999999997,,3505.2,1612568.75,0.11584999999999998,42.31533333333334,1393409033.0,450.419,28.199999999999996,5.989000000000002,3.4140000000000006,6426.674,21.199999999999996,282.27999999999986,10.389999999999995,1.8999999999999992,20.600000000000005,59.549999999999976,0.53,69.66,0.6449999999999998,,,,,1612568.75,0.11584999999999998,4884120.65,3505.2,5052682.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,111.0,0.0
1839,IRL,2021-11,484352.2,3959.45,3610.6285000000003,5535.7,8.65,8.68555,97202.79575000002,794.60695,724.6034000000001,1110.9386000000002,1.73595,1.7431499999999995,1.2709999999999997,88.42857142857143,17.74642857142857,507.92857142857144,101.9342857142857,27.1,5.439,441.6365,88.63050000000001,27411.526315789473,8389622.210526315,1683.6812631578948,5.5011052631578945,26470.736842105263,5.312210526315789,0.1335555555555555,7.572222222222223,7691034.277777778,3830133.611111111,3763075.611111111,334128.8333333333,20853.176470588234,15968.611111111111,154.34833333333333,76.86666666666665,75.52111111111113,6.706666666666667,3204.6111111111113,1312.888888888889,0.0263888888888889,47.77899999999998,4982904.0,69.87400000000001,38.70000000000001,13.928,8.677999999999999,67335.29300000003,0.20000000000000004,126.45900000000002,3.2800000000000002,23.0,25.699999999999996,,2.9600000000000004,82.29999999999998,0.9549999999999997,,,,,1312.888888888889,0.0263888888888889,15968.611111111111,3204.6111111111113,20853.176470588234,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,111.0,0.0
